agricultureStructureIndicator,asOfDate,baseFloodElevation,basementEnclosureCrawlspace,reportedCity,condominiumIndicator,policyCount,countyCode,communityRatingSystemDiscount,dateOfLoss,elevatedBuildingIndicator,elevationCertificateIndicator,elevationDifference,censusTract,floodZone,houseWorship,latitude,longitude,locationOfContents,lowestAdjacentGrade,lowestFloorElevation,numberOfFloorsInTheInsuredBuilding,nonProfitIndicator,obstructionType,occupancyType,originalConstructionDate,originalNBDate,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim,postFIRMConstructionIndicator,rateMethod,smallBusinessIndicatorBuilding,state,totalBuildingInsuranceCoverage,totalContentsInsuranceCoverage,yearOfLoss,reportedZipcode,primaryResidence,id
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51125,NA,1987-09-08T04:00:00Z,0,NA,NA,51125950100,A,0,37.8,-78.7,0,NA,0,1,0,10,4,1974-07-01T04:00:00Z,1986-12-30T05:00:00Z,NA,NA,NA,0,1,0,VA,100000,0,1987,22969,0,613f48a1f2b55a0837ebedde
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51003,NA,1996-01-19T05:00:00Z,0,NA,NA,51003011400,A,0,37.8,-78.5,0,NA,0,1,0,NA,4,2040-07-01T04:00:00Z,1986-09-24T04:00:00Z,488.53,NA,NA,0,1,0,VA,11600,0,1996,24562,0,613f48a1f2b55a0837ebee26
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51540,NA,1996-09-06T04:00:00Z,0,NA,NA,51540000302,A19,0,38,-78.5,3,NA,0,1,0,NA,4,1961-07-01T04:00:00Z,1990-09-22T04:00:00Z,18671.52,6000,NA,0,1,0,VA,125000,6000,1996,22902,0,613f48a1f2b55a0837ebf00d
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51003,NA,1995-07-17T04:00:00Z,0,NA,NA,51003010700,C,0,38.1,-78.5,3,NA,0,1,0,NA,4,1973-07-01T04:00:00Z,1990-06-17T04:00:00Z,NA,21666.56,NA,0,1,0,VA,0,52500,1995,22901,0,613f48a1f2b55a0837ebf089
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51003,NA,1998-05-07T04:00:00Z,0,NA,NA,51003010700,C,0,38.1,-78.5,3,NA,0,1,0,NA,4,1973-07-01T04:00:00Z,1990-06-17T04:00:00Z,NA,6611.95,NA,0,1,0,VA,0,55100,1998,22901,0,613f48a1f2b55a0837ebf08a
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51003,NA,1998-07-09T04:00:00Z,0,NA,NA,51003010700,C,0,38.1,-78.5,3,NA,0,1,0,NA,4,1973-07-01T04:00:00Z,1990-06-17T04:00:00Z,NA,27123.99,NA,0,1,0,VA,0,55100,1998,22901,0,613f48a1f2b55a0837ebf08b
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51003,NA,2000-07-28T04:00:00Z,0,NA,NA,51003010700,C,0,38.1,-78.5,3,NA,0,1,0,NA,4,1973-07-01T04:00:00Z,1990-06-17T04:00:00Z,NA,NA,NA,0,1,0,VA,0,57900,2000,22901,0,613f48a1f2b55a0837ebf08c
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51003,NA,2002-06-19T04:00:00Z,0,NA,NA,51003010700,C,0,38.1,-78.5,3,NA,0,1,0,NA,4,1973-07-01T04:00:00Z,1990-06-17T04:00:00Z,NA,37516.71,NA,0,1,0,VA,0,63800,2002,22901,0,613f48a1f2b55a0837ebf08d
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51540,NA,1996-09-06T04:00:00Z,0,NA,NA,51540000402,B,0,38,-78.5,3,NA,0,1,0,10,4,1972-07-01T04:00:00Z,1996-07-10T04:00:00Z,NA,NA,NA,0,1,0,VA,0,35000,1996,22902,0,613f48a1f2b55a0837ebf2e2
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51003,NA,1996-09-06T04:00:00Z,0,NA,NA,51003010402,B,0,38,-78.5,4,NA,0,3,0,10,1,1979-06-15T04:00:00Z,1992-01-13T05:00:00Z,NA,NA,NA,1,1,0,VA,60000,5300,1996,22902,1,613f48a7f2b55a0837ec4a42
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51125,NA,2005-11-29T05:00:00Z,1,NA,NA,51125950300,A10,0,37.8,-79.1,3,NA,0,1,0,10,1,1978-01-01T05:00:00Z,2005-02-04T05:00:00Z,733.26,NA,NA,0,1,0,VA,80900,0,2005,22967,1,613f48adf2b55a0837ecbd2e
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51125,NA,1996-09-06T04:00:00Z,0,NA,NA,NA,C,0,37.8,-79,3,NA,0,1,0,10,1,1974-07-01T04:00:00Z,1993-03-15T05:00:00Z,1388.89,NA,NA,0,1,0,VA,70700,13300,1996,22967,1,613f48adf2b55a0837ecbaa4
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51125,NA,1996-01-19T05:00:00Z,0,NA,NA,51125950300,AE,0,37.8,-79,3,NA,0,1,0,10,1,1974-07-01T04:00:00Z,1991-03-15T05:00:00Z,418.99,NA,NA,0,1,0,VA,10700,3300,1996,22976,1,613f48adf2b55a0837ecbaa7
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51125,NA,1996-09-06T04:00:00Z,0,NA,NA,51125950300,AE,0,37.8,-79,3,NA,0,1,0,10,1,1974-07-01T04:00:00Z,1991-03-15T05:00:00Z,8188.36,1717.95,NA,0,1,0,VA,11900,3600,1996,22976,1,613f48adf2b55a0837ecbaa9
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51125,NA,2005-11-29T05:00:00Z,0,NA,NA,51125950300,AE,0,37.8,-79,3,NA,0,1,0,10,1,1974-07-01T04:00:00Z,1991-03-15T05:00:00Z,12224.93,3790.28,NA,0,1,0,VA,26000,5300,2005,22976,1,613f48adf2b55a0837ecbaae
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51125,NA,2011-04-16T04:00:00Z,0,NA,NA,51125950300,A,0,37.9,-78.9,4,NA,0,2,0,10,6,2040-01-01T05:00:00Z,1993-09-18T04:00:00Z,24737.42,NA,NA,0,1,0,VA,80000,0,2011,22958,0,613f48adf2b55a0837ecbae7
0,2021-07-25T01:39:04Z,NA,1,Temporarily Unavailable,N,1,51125,NA,2003-09-18T04:00:00Z,0,NA,NA,51125950100,C,0,37.5,-78.8,2,NA,0,2,0,10,1,1986-11-01T05:00:00Z,1998-10-27T05:00:00Z,3220.31,NA,NA,1,7,0,VA,50000,12000,2003,24553,1,613f48adf2b55a0837ecbba5
0,2021-07-25T01:39:04Z,NA,1,Temporarily Unavailable,N,1,51003,NA,2015-06-25T04:00:00Z,0,NA,NA,51003011202,X,0,37.9,-78.6,2,NA,0,4,0,NA,1,1977-01-01T05:00:00Z,2013-07-22T04:00:00Z,NA,NA,NA,0,1,0,VA,147000,500,2015,22959,0,613f48aef2b55a0837eccb0b
